28


0	8	9	7	6	5	4	4	4	4	6	4	6	6	4	6	6	4	7	5	3	4	4	4	4	4	4	4
8	0	7	6	6	7	6	5	4	4	7	4	2	2	4	2	2	2	8	8	2	4	4	4	4	4	4	4
9	7	0	7	6	7	5	4	3	3	4	2	4	3	2	3	3	2	8	6	2	4	4	4	4	4	4	4
7	6	7	0	6	7	6	8	4	4	3	6	3	3	2	3	3	3	5	5	2	4	4	4	4	4	4	4
6	6	6	6	0	10	9	8	5	6	4	7	6	6	3	6	6	3	5	4	2	4	4	4	4	4	4	4
5	7	7	7	10	0	10	7	6	6	3	6	2	2	4	2	2	2	7	7	2	4	4	4	4	4	4	4
4	6	5	6	9	10	0	8	8	8	3	9	3	3	3	3	3	2	6	6	2	4	4	4	4	4	4	4
4	5	4	8	8	7	8	0	6	8	4	9	3	3	7	3	3	2	4	4	2	4	4	4	4	4	4	4
4	4	3	4	5	6	8	6	0	10	3	6	3	3	8	3	3	3	4	4	3	4	4	4	4	4	4	4
4	4	3	4	6	6	8	8	10	0	3	7	3	3	7	3	3	3	5	5	3	4	4	4	4	4	4	4
6	7	4	3	4	3	3	4	3	3	0	3	9	7	5	6	6	7	6	6	5	4	4	4	4	4	4	4
4	4	2	6	7	6	9	9	6	7	3	0	7	4	5	4	4	4	4	4	3	4	4	4	4	4	4	4
6	2	4	3	6	2	3	3	3	3	9	7	0	9	5	10	10	8	4	4	8	4	4	4	4	4	4	4
6	2	3	3	6	2	3	3	3	3	7	4	9	0	5	8	8	7	4	4	7	4	4	4	4	4	4	4
4	4	2	2	3	4	3	7	8	7	5	5	5	5	0	3	3	3	3	3	3	4	4	4	4	4	4	4
6	2	3	3	6	2	3	3	3	3	6	4	10	8	3	0	10	7	4	4	7	4	4	4	4	4	4	4
6	2	3	3	6	2	3	3	3	3	6	4	10	8	3	10	0	7	4	4	7	4	4	4	4	4	4	4
4	2	2	3	3	2	2	2	3	3	7	4	8	7	3	7	7	0	4	4	7	4	4	4	4	4	4	4
7	8	8	5	5	7	6	4	4	5	6	4	4	4	3	4	4	4	0	10	3	4	4	4	4	4	4	4
5	8	6	5	4	7	6	4	4	5	6	4	4	4	3	4	4	4	10	0	3	4	4	4	4	4	4	4
3	2	2	2	2	2	2	2	3	3	5	3	8	7	3	7	7	7	3	3	0	4	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0


0	10	20	30	20	22	28	36	50	51	54	58	70	71	73	76	100	100	102	120	120	122	150	150	151	170	170	171
10	0	10	20	22	20	22	28	51	50	51	54	71	70	71	73	100	100	100	120	120	120	150	150	150	170	170	170
20	10	0	10	28	22	20	22	54	51	50	51	73	71	70	71	102	100	100	122	120	120	151	150	150	171	171	170
30	20	10	0	36	28	22	20	58	54	51	50	76	73	71	70	104	102	100	124	122	120	153	151	150	173	173	170
20	22	28	36	0	10	20	30	30	32	36	42	50	51	54	58	80	81	82	100	100	102	130	130	132	150	150	151
22	20	22	28	10	0	10	20	32	30	32	36	51	50	51	54	81	80	81	100	100	100	130	130	130	150	150	150
28	22	20	22	20	10	0	10	36	32	30	32	54	51	50	51	82	81	80	102	100	100	132	130	130	151	151	150
36	28	22	20	30	20	10	0	42	36	32	30	58	54	51	50	85	82	81	104	102	100	133	132	130	153	153	150
50	51	54	58	30	32	36	42	0	10	20	30	20	22	28	36	50	51	54	70	71	73	100	100	102	120	120	122
51	50	51	54	32	30	32	36	10	0	10	20	22	20	22	28	51	50	51	71	70	71	100	100	100	120	120	120
54	51	50	51	36	32	30	32	20	10	0	10	28	22	20	22	54	51	50	73	71	70	102	100	100	122	122	120
58	54	51	50	42	36	32	30	30	20	10	0	36	28	22	20	58	54	51	76	73	71	104	102	100	124	124	120
70	71	73	76	50	51	54	58	20	22	28	36	0	10	20	30	30	32	36	50	51	54	80	81	82	100	100	102
71	70	71	73	51	50	51	54	22	20	22	28	10	0	10	20	32	30	32	51	50	51	81	80	81	100	100	100
73	71	70	71	54	51	50	51	28	22	20	22	20	10	0	10	36	32	30	54	51	50	82	81	80	102	102	100
76	73	71	70	58	54	51	50	36	28	22	20	30	20	10	0	42	36	32	58	54	51	85	82	81	104	104	100
100	100	102	104	80	81	82	85	50	51	54	58	30	32	36	42	0	10	20	20	22	28	50	51	54	70	70	73
100	100	100	102	81	80	81	82	51	50	51	54	32	30	32	36	10	0	10	22	20	22	51	50	51	71	71	71
102	100	100	100	82	81	80	81	54	51	50	51	36	32	30	32	20	10	0	28	22	20	54	51	50	73	73	70
120	120	122	124	100	100	102	104	70	71	73	76	50	51	54	58	20	22	28	0	10	20	30	32	36	50	50	54
